type,text,method
p,"Earlier this summer The Anou Cooperative surpassed $1 million USD in total sales since we launched the Anou market place several years ago. This is a major milestone for any business. Businesses are hard. Only about 6% of business ever reach $1 million USD in sales. For Anou, this milestone is special because it was achieved by the effort of people erroneously believed to not be business savvy at all: artisans.",bs4
p,"Artisans across the Anou community have to make a huge jump and take on large challenges to transition to selling directly to customers. In addition to photographing and posting their own products, there are the challenges of how to scale their businesses and manage their growth.  It’s not an easy learning curve.",bs4
p,"The biggest learning curve of all is that of Anou’s artisan leaders.  Artisan leaders work as a team by working shifts at Anou’s HQ in order to help manage quality, manage materials for the artisan community such as wool and dye work, collaborate with partners such as our retail, shipping, donor and government partners, and help advise newer groups on how best to organize their cooperatives. Through this work, artisan leaders like Kenza of Association Tithrite , Brahim of Association Ighrem , Mustapha of Cooperative Nahda , Rachida of Cooperative Tiglmamin , Rabha of Cooperative Tamlalt , Fatiha of Cooperative Tifawin , Halima of Association Zaouia , all have set the bar for what artisans can achieve.",bs4
p,"This milestone and the success of all Anou’s artisan leaders all comes back to you, our supporters. To everyone who has helped advocate on Anou’s behalf, or purchased a product (or several!), told their friends and family or had their orders delayed due to various growing pains, none of this would be possible without you.",bs4
p,The Anou community is deeply indebted to all of our customers and partners who have made this milestone a possibility. There is still much more work to be done in building Anou’s community and reshaping Morocco’s craft economy but with all of your support we know the best is yet to come.,bs4
p,Kenza (left) of Association Tithrite.,bs4
p,Rabha of Cooperative Tamlalt,bs4
p,Fatiha of Cooperative Tifawin,bs4
p,Brahim of Association Ighrem,bs4
p,Halima of Association Zaouia,bs4
p,Mustapha of Association Nahda,bs4
p,Rachida (left) of Cooperative Tiglmamin,bs4
p,"The new big thing in Morocco is Sabra, or more often referred to as cactus silk. You can’t scroll for too long on an a social media hashtag for Morocco before seeing a pillow or rug made out of sabra. From small shops all the way up to  massive companies like Restoration Hardware, everyone is scrambling to pull together their product lines.",bs4
p,"Sabra products are incredibly popular because they embody the imagination of what people perceive Morocco to be. Simply look up descriptions of sabra product and foreign sellers via their Instagram account who dote wistfully about divorced or widowed nomadic Berber women who search the expanse of the Saharan desert for the finest cactus. And then when the perfect cactus is found under a hot Moroccan sun, the Instagrammers continue, the women undertake the painstaking work of extracting vegan fiber thread by thread only before dyeing it using hand crushed natural dyes via Indigo mud cloth techniques. Beautiful.",bs4
p,"At a certain point though when it starts to seem that not only is such a popular product the embodiment of Morocco but also every artisan technique ever known to humankind all available in pillow form for less than $50 USD including shipping on Etsy, you gotta wonder: is any of this even true?",bs4
p,Finding Sabra,bs4
p,"About a year and half ago we started getting a spike in requests for sabra product. The first clue that something might be amiss was that even though we worked with hundreds of weavers across the country none of them had ever posted a standard sabra product online. Nor were there any pictures of this process anywhere online. Many cooperatives said they could easily make the product if asked, but did not have a desire to make it on their own. Association Nahda volunteered to create some samples but first we had to find sabra.",bs4
p,"To get started, we first visited the plentiful shops that sell sabra across the country. You’ll instantly recognize the shops with stacks upon stacks of small spindles of sabra thread. But every shop we went to in the Middle Atlas purchased their sabra in bulk from a supplier in a major city and when we met with the supplier, they told us their sabra was imported from India. When we asked to see the packaging, it was all clearly labeled as a cheap rayon. The distributor just said he supplies to small village shops and that real sabra, the sabra for weaving, was found elsewhere.",bs4
p,Stacks and stacks of…cheap rayon.,bs4
p,"Shocking as that was we reached out to some of the more well known artisans who work with sabra. All of them, who have worked with sabra for many years, claimed that it was fiber from cacti that grew on farms, much like the stories people tell online. We worked with these artisans to trace the full supply chain of their material to the source, hoping it would lead us to these all female farms, but we found ourselves in Spain instead. Much of the high end sabra sold in major cities is sourced through a manufacturing company located on the outskirts of Barcelona. Spanish sabra? Sure, why not? We eagerly got in touch and the company responded by saying that they were rather incredulous anyone could extract a useable fiber from a sabra cactus, but that they wouldn’t know because they exclusively sell acetate filament threads. We brought this information back to the artists who use this product and they said it wasn’t true.",bs4
p,"Through our research that led us to Spain, we had also found the supposed source of the actual sabra in Morocco that is most commonly used for pillows and rugs. The location is in a small, wind swept town just outside of Marrakech. We found the largest cluster of sabra cactus we had seen after months of looking that could have resembled a farm, so we assumed we were getting close. We found the owner of the land, and when we asked if we could take some sabra cactus stems, he said no because that cluster was on the land of a grave site. He had some sabra cactus in front of his house and bemusedly let us take as much as we wanted curious as to why anyone thought they could do anything with it.",bs4
p,"While in the town, we met with nearly 100 weavers of sabra product and distributors of sabra. The distributors, primarily the most well known, were all incredibly frank in that sabra had never been produced in Morocco and that their businesses started importing rayon fibers because it was shiny, relatively cheap and sold well. We were surprised that they spoke so honestly, but they said it was the first time someone had asked them such specific questions.",bs4
p,"We have since tested the fiber and have confirmed that it is in fact rayon. Further, we’ve extensively tested contemporary and traditional techniques to extract the fiber learning from techniques used on similar fibers in Algeria, Mexico and the Philippines. So far all have failed. It’s not even clear if sabra fiber could even be used for basic rope. As a result, we can definitively conclude that sabra as of today is not real, and it’s story just as manufactured as the rayon that it is.",bs4
p,The Economics and Abuse of Sabra,bs4
p,"We’ve written extensively on the economics of a lot of products in Morocco and as always the result is the same: artisans are paid next to little while middlemen take extensive mark ups. But in a land where exploited artisans is the norm, the scale of exploitation with sabra was unmatched.",bs4
p,The sabra product made in those windswept towns are places where middlemen in Marrakech set up their workshops and where most products you find on Instagram or in the Marrakech medina are made. The areas are out of the eye of tourists as well as the clients of middlemen and much too inconvenient for buyers to visit for themselves. The artisans are simply too far away to know what is actually happening in the market and are largely unaware. It’s a perfect environment for a made up story to thrive.,bs4
p,"In one of the most well known towns where sabra product is made there isn’t one single official cooperative. All the women work as individuals, who middlemen pit against each other to extract the cheapest price and turn around times. When we talked to the women, they laughed at the thought that they could sell their sabra pillows, which take them 5 days to make, for more than 50 MAD ($5 USD). That is 10 MAD a day ($1 USD per day) in a country where the minimum agricultural wage is 70 MAD per day. Oftentimes, the women are expected to pay for the material which comes out of the 50 MAD price they are paid. A middleman likely tells their buyers the artisans are happy with what they pay, and the women may very well be because they do not know any better.",bs4
p,"One of the more expensive parts of this process is dyeing the fiber. Sabra rayon comes in large tangled hanks and it is incredibly difficult for the dye to absorb quickly and evenly. We did extensive testing on best ways to properly dye sabra rayon, and because of the physical state of the fiber, it takes about two hours of manual work and extensive amounts of dye and water to complete one kilogram. To reduce the overall amount work, traditional dyers cut down the dye process from 2 hours of manual labor to 20 minutes using formaldehyde based mordants. So instead of 200 MAD ($20 USD) for 1 kg of sabra rayon, you can get away with paying as little as 20 MAD per kg ($2 USD) while pushing any adverse health effects on to the dyers and artisans. When the product is woven by the women, the product is passed on to another person, often times the middleman, who applies a bleach wash to fade and turn the product ‘vintage’. Bleach is key because there are no vintage sabra products since they only showed up on the market within the past 15 years.  All in all the final material cost of imported rayon and dyed with formaldehyde comes to about 50 MAD ($5 USD) for a standard size sabra pillow.",bs4
p,"Collectivco (and we can list many other similar companies) just recently launched their new line of Sabra pillows for just $50 USD each. You can assume that they’re at least working with a margin of at least 50%, so they paid at most $25 USD for a pillow in the Marrakech medina, which falls in place with the break down above. To any ethical seller, you’d know that something isn’t quite right with a handmade product of such detail price at just $25. At that price either artisans are getting exploited or the material isn’t what the customer thinks it is. In the case of sabra rayon products it is both. While people in Morocco may just not know any better, that excuse does not extend to many foreign companies who benefit most from the deception and often drive such trends.  And let’s be real: if a company like Collectivco is selling you sabra is anything else they say legitimate?",bs4
p,An Alternative?,bs4
p,"We’ve heavily debated over the past year what exactly we should do about sabra rayon as we figured out that nothing about it is real. Calling it out likely won’t stop people like Collectivo from marketing a fake product — there’s too much money to be made. It’s also not clear if customers care. When we reached out to a customer of a sabra product their response was, “Don’t bother me about it, bother the seller. I think it looks pretty”.  Further, by outing the material, we eliminate the ability for artisans within the Anou community to sell it and we may harm genuine cooperatives and artisans that do use sabra rayon in one way or another but are simply not aware or afford to believe in its actual origins.",bs4
p,"We decided we wouldn’t make this information public until we could research and develop a better alternative to sabra rayon. And with our partners at Stitch ( www.stitch.ma ), who have led our research into better, more sustainable fibers, and bamboo has heavily emerged as the best replacement so far. Bamboo is ideal because it’s more environmentally sustainable, it’s less complex to dye nor does it require as much water or dye, and it is much much softer and stronger. Bamboo can be used for both warp and weft, where sabra can only be used for the weft (and is why it is most often paired with a cotton warp) because it is just too weak. Ultimately, bamboo yarns feel and act as you would expect from something called vegetable silk. We’ve spent the last several months working closely with Stitch to develop the dye systems to consistently dye bamboo fiber in a wide range of colors all in an environmentally sustainable way while ensuring good wages for artisans who take on the dye work at Atlas Wool Supply Co.",bs4
p,"Several shades of blue and brown bamboo, drip drying in the sun.",bs4
p,"Once we perfected the dye system, we brought out several cooperatives to Anou’s HQ to run side by side tests of Bamboo and Sabra and the results were stunning. Bamboo proved much easier to weave with, dropping the weaving time by about 20%. Further, the bamboo is luxuriously soft unlike the coarse, rough cotton sabra mix of most sabra products that you find on the market. From a purely aesthetic perspective, bamboo is just better.",bs4
p,"Starting today, Cooperative Tiglmamin , Cooperative Tithrite and Cooperative Nahda will begin taking orders on bamboo sabra. And while we predict in a couple of months middlemen will start to say they have bamboo, it won’t be true, because Stitch and Anou are exclusively importing it.",bs4
p,An Artisan Centered Craft Economy in Morocco,bs4
p,"After researching this for one and a half years, we can certainly conclude that sabra does not accurately represent Morocco nor the hype in everyone’s imagination. What rayon sabra does embody, however, is how artisans are harmed when sellers and buyers don’t do their due diligence and devalue the worth of artisans. What is most striking about rayon sabra is that it just goes to show what happens in a middleman centered economy. Only when every last cent is squeezed from artisans’ actual traditional products would everyone open their arms to entirely made up story about a product to extract even more from artisans.",bs4
p,"Bamboo yarn isn’t a cure all solution to the sabra rayon problem. It’s not made domestically, if it isn’t made mechanically or in a closed loop system it can have more environmental cons than pluses, and Morocco has no real history with bamboo yarns. But it is now a known product, with room to improve immensely. And when you buy bamboo sabra products via artisans within the Anou community, you’ll know exactly what is in the product you bought and you’ll know exactly how much is going to the artisans who made it. And as more artisans earn more than just a fair wage for their work, it will enable artisans through the Anou Cooperative to do the real work of  much needed research, experimentation and sourcing of  new materials, of which we aim to be rooted in Morocco’s culture and environment. And perhaps artisans may just find a way after all to incorporate actual Moroccan sabra into beautiful products in the future. This is what an artisan centered economy in Morocco looks like.",bs4
p,"Realizing this future starts with you, the customer. Ensure that you or your friends do their due diligence whenever they’re buying their next artisan product. Encourage people to buy direct from authentic artisans and not from just middlemen who say they’re helping. With your support, artisans can create the future of craft in Morocco and ensure that all Moroccan products resemble the best of what the country and people of Morocco have to offer.",bs4
p,The initial idea behind Anou was to enable customers to buy directly from artisans and have artisans fulfill those orders themselves. This was a pretty common sense solution to a lot of the inefficiencies that define the artisan sector and fair trade industry today.,bs4
p,This was also in retrospect rather bold. Getting artisans to ship products abroad and assume there would be little issue without oversight might be perceived as a bit naive.,bs4
p,Unexpected Surprises,bs4
p,"That said, from Anou’s launch til mid 2016, our error rate or return rate of items artisans shipped directly was a low 3-5%. Such an error rate was satisfactory and even though the occasional return or problem would really take a bite out of our budget and bandwidth, it was manageable.",bs4
p,"Starting in mid 2016 though, our error rate ballooned to 25-40%. The reasons for this are complex but it was a combination of several factors. The initiating factors was that our team was consumed with the implosion of an artisan group and spending immense time battling archaic custom rules that prevent artisans from shipping their products directly.",bs4
p,"With these issues eating up all of our time, it required the artisan team be primarily responsible with following up artisans after sale. Not only did the team do a marginal job, the artisan community felt they would be able to get away with more with simply artisan oversight alone versus if a follow up call or visit came from a foreigner like myself. There’s more to this, but this is the basic idea for purposes of our blog.",bs4
p,"As problems grew, we didn’t have the bandwidth to deal with the increasing amount of upset customers and problems exponentially grew from there. In short, the past several months were nothing that no sane person would describe as a good time.",bs4
p,Turning Problems Into Assets,bs4
p,"On the subject of sanity, no sane business person would ever take on a business model where there is even a remote potential of a 40% error rate in orders. This explains why the existence a status quo in Morocco where artisan businesses are never fully artisan led. If Anou were primarily a business, we certainly would have taken proof of the last several months as reason to go a more traditional route. While we operate as a business, it’s not our primary raison d’ être.",bs4
p,"Anou exists to enable artisans themselves to shape the future of Morocco’s artisan economy so that it works for them, rather than against them. As such, this is a problem that simply needs to be addressed, not avoided. If artisans cannot learn how to ensure quality and accuracy of their shipments, they’re not going to change how the economy works in Morocco. And let’s be real, if you start with the assumption that artisans aren’t capable of this, why bother working in this space?",bs4
p,"The status quo deals with such issues by drawing up grants and doing trainings and workshops. In Morocco, those don’t work. Therefore our starting point in solving a problem is not workshops, but creating real-time learning experiences for artisans. How, for example, do we turn problems into a continuous stream of learning experiences where we can train hundreds of artisans at a fraction of a cost of a workshop all while building both our bottom line and a critical mass of artisans that have a nuanced understanding of quality control? Over the past, several months we’ve been working closely with our partners at Amana (Morocco’s national post system) and DHL to do exactly that.",bs4
p,An Overview Of Our Updated Quality Control Process,bs4
p,"We’ve been testing this new process over the past month and we now project that we’ll be able to decrease customer side issues and stateside returns below 1%, if not 0%. Now in the majority of cases artisans ship their orders and Amana delivers directly to our office.",bs4
p,Members of Association Tithrite working at Anou’s HQ receive shipments from artisans across the country and prepare them for inspection.,bs4
p,"The artisan leaders then open and inspect every shipment and look for common errors such discrepancy between dimensions listed on the site vs the actual item, stains, bleeding dyes (if wool was not purchased through our Atlas Wool Supply Co initiative), color discrepancies between the listed image and the actual order, among other potential issues.",bs4
p,Artisan Leader Mustapha Chaouai walks Rachida of the Khenifra Women’s Cooperative through quality control on a weeks worth of orders. Members of Association Tazrbit observe and eventually step in and try their hand.,bs4
p,"If the issue can be fixed on the spot, the artisans at the Anou HQ will fix it. If not, the artisans get experience using professional grade cameras and learn photography techniques to better show the product and errors to the customer, all while learning skills they can apply to their own photography when they are back at their cooperative in their home village.",bs4
p,"After the pictures are complete, the artisans use a small app that we built to enable the artisan team to fill out a simple form about the product using Tashelheet/Arabic, and once submitted, sends an e-mail directly to the customer in English notifying the customer of the problem with detailed pictures. It is best to never pass up an opportunity to enable artisans to feel the direct discomfort of informing customers of a problem. The customers can accept the order as is or they can request a refund and we’ll ship the rug back to the artisans.",bs4
p,"New tools enable Anou’s artisan leaders at HQ to send important information to customers directly. If you purchased an item from Anou recently, you likely received e-mails from members of Anou’s artisan team.",bs4
p,"This process is very much in the testing phase but initial results are incredibly positive. Instead of having a customer get an unexpected surprise and putting Anou on the hook for a several hundred dollar return, we can teach artisans how to address problems and improve their skill set all while creating a better customer experience at a max cost of about $12 USD per order affected by an error — a price that most artisans can generally afford to cover.",bs4
p,"We’re incredibly excited about refining this process and making it live. It is important to note that none of this would have been possible without the incredibly understanding, patient customers we’ve had over past several months. Without their patience and support, we would not have had the space to fix these issues. If you have any questions about this new process and want to learn more about this to ease any concern if you are on the fence with a potential order, give us a shout at hello@theanou.com",bs4
p,"Not only was this rug designed by Kenza of Association Tithrite, it was the first rug made using Anou’s own in house sourced wool and non-toxic, environmentally friendly dyes.",bs4
p,"This past winter, a cooperative within the Anou community received a large order and they struggled to meet timelines that they had set themselves. Each time a weaver began on the order, they’d get sick, and another artisan weaver would begin working. The weavers said that they just all happened to get subsequent colds but it was clear something was a little off. Whatever was happening, it seemed to go deeper than an excuse. Curious, we decided to bring the weavers to work on the order at our HQ so we could better monitor the progress of the order and see what the real issue was.  Within 24 hours of having the weavers at our office, the artisans eyes started to swell and if we had not stopped them from weaving their eyes would have swollen shut. The artisans were sick alright, but it wasn’t from a cold. They were having severe allergic reactions from the materials they were weaving with.",bs4
p,"We have always felt that artisans were sick more often than the average population but we never had any data to prove it. Perhaps it was the result of a wide range of challenges often faced by those in rural, poor areas. But after bringing the weavers out to our office it was clear that materials artisans use, whether they realize it or not, seems to play a significant role in the quality of their health. And what it certainly proves is that there is something severely wrong with the craft material market that is literally and figuratively killing the artisan community of Morocco. To ensure that we can build the future of Moroccan craft in Morocco, we can no longer overlook the lack of safe, natural, quality materials in Morocco.",bs4
p,Familiar Problems,bs4
p,"Ensuring that artisans have access to quality materials may seem like a simple problem to fix, but like many things, the problem is the result of a vast range of complicated problems. And yet after nearly a year of immersing ourselves in the material market of Morocco the source of all these problems find their roots in how the Moroccan artisan economy is structured.",bs4
p,"As we’ve wrote many times on this blog before, middlemen keep on average 96% of the final selling price of products on the artisan market. We’ve come across groups where middlemen don’t even pay artisans in cash, and simply pay artisans in more material to make them more product. Middlemen in many cases have optimized the labor cost to zero. Yet there is still cut throat competition, so materials becomes the next place of focus to maintain margins. Therefore, every decision made by middlemen is focused on eliminating any costs and cutting any possible corner to get the cheapest material available. Since middlemen control the majority of the market, their demands dictate what artisans largely buy.",bs4
p,"One of the most prominent sellers of craft material in Morocco now sells more than 90% synthetic material imported from India and China. When asked why he didn’t sell authentic material that could theoretically be sourced locally, he said that middlemen don’t buy natural products, and the artisans don’t earn enough from their work with middlemen to ever afford natural products themselves.",bs4
p,Domestic Demand & Confusion,bs4
p,"What is odd is that Morocco is flush with natural materials — the same natural materials that gave rise to the artisan sector of Morocco to begin with. It isn’t impossible to find natural materials like wool but it isn’t so straightforward sourcing it. In some cases, sourcing natural materials can be worse for an artisans’s health than a synthetic. For example, groups who use wool instead of acrylic threads take the wool to dyers in Marrakech and Fez to create the colors they want. To properly dye 1 kilogram (2 pounds) of wool and chemically bond the dye to the wool while ensuring no environmental impact can take up to two hours of work. After working in the dye tanneries for several months we were shocked to learn that the dyers were using cheap dyes and cutting corners by skipping the chemical bonding process by ‘gluing’ the dye the wool using heavy concentrations of toxins like formaldehyde. This process only takes 20 minutes to dye several kilograms of wool. Not only does this dye become incredibly prone to bleeding, it affects the health of anyone who comes in touch with such wool including the end customer. If you ever wondered why Morocco’s souq and markets have a reputation for bleeding rugs or causing allergies, here’s your reason why.",bs4
p,"What makes this even more difficult to navigate is that it is nearly impossible for anyone to find out information about the true source and make up of such materials. For example, wool dyed with formaldehyde may bleed in seemingly sporadic number of washes, not necessarily the first wash. So a wool seller or dyer can tell an artisan that the wool is safe and non-bleed, run it through a basic bleed test in front of the artisan, and then the material will bleed after the artisan already sold a product to their customer. In some cases, the stories sellers tell take on a life of their own. For example, the incredibly popular material cactus silk locally known and sold as sabra isn’t even grown and processed in Morocco. In fact, all locally available Moroccan sabra is a semi-synthetic that is imported from India. Even after months of research we cannot find any evidence that sabra is or ever was commercially grown and processed in Morocco.",bs4
p,Launching The Atlas Wool Supply Co,bs4
p,"What we have learned early on in building Anou is that if you want to do something right in Morocco you just have to do it yourself. As such, since the Fall of 2016, we’ve been learning and testing ideas and processes to develop our own in house material sourcing operation for the Anou community. And after many months, we’re excited to announce the launch of the Atlas Wool Supply Co , Morocco’s only source for quality craft materials. Our vision is to revive supply chains of all traditional Moroccan materials and provide them at cost to artisans of the Anou community.",bs4
p,"Since the majority of our artisans are weavers, the first material line we have developed is for wool. We have set up full vertically integrated, environmentally sustainable, wool sourcing operations in both the Middle Atlas and High Atlas Mountains. Anou artisans are employed via living wages to identify shepherds and sheer wool directly from sheep as well as scour and spin wool. When the wool is spun, it is shipped to our HQ where Anou’s artisan team is trained to dye wool in thousands of colors using premium non-toxic synthetics and locally sourced natural dyes. Anou artisans can now simply pick up the phone or send a Whatsapp message and place an order for any color they wish, whether it be for a new design or for a custom order, and have their requested materials shipped directly to their village. For the first time artisans who are a part of Anou can guarantee that their materials are of high quality and free of toxins that are harmful to the health of people and the environment. No one else in Morocco, middlemen or otherwise, can guarantee this simple important fact. Knowing this, why put your health and the health of artisans at risk when buying products from people who cannot guarantee where their materials came from?",bs4
p,Get Involved and Support Anou,bs4
p,"We’ve received so much initial excitement from our sample materials that we’ve made our materials available for purchase at www.atlaswoolsupply.co . We plan to catalogue ever color we have ever dyed in order to create the most comprehensive collection of wool colors online. So even if you are not in the market for a rug just yet but you are a knitter or a weaver, you can now support the Anou Cooperative by purchasing materials from the Atlas Wool Supply Co. All proceeds generated from each sale goes towards Anou’s general budget to onboard and provide further training for artisans in the Anou community. Already, companies like The Citizenry and organizations such as Turquoise Mountain have already begun to source from us for their projects. And starting next month, all major yarn shops in London will be carrying our materials for sale.",bs4
p,"With your support, we’ll never have to worry about whether artisans are getting sick from the materials they are weaving nor will materials and colors ever be a limit to the creativity of Moroccan artisans.",bs4
p,Mustapha Chaouai of Association Nahda gathers wool samples from shepherds from around the Middle Atlas mountains. The samples wewre sent to labs for quality and fineness tests.,bs4
p,"At Anou’s HQ, Rabha Akkaoui trials wool scouring techniques  learned from studying the processes of New Zealand wool companies.",bs4
p,"Anou provides scoured wool to cooperatives from across the Middle Atlas and High Atlas, like Imelghaus,  to thread. The cooperatives use the income to supplement their income from their sales on Anou.",bs4
p,"At Anou’s HQ, Kenza of Association Tithrite dyes wool that was requested by members of the Anou community. Anou ships the dyed wool directly to artisans across the country.",bs4
p,Brahim El Mansouri uses Anou’s color coding system to identify the dye mixes to create specific colors required for a custom order.,bs4
p,Mustapha Chaouai of Association Nahda discusses challenges and potential solutions to Moroccan artisan export policies at the US Department of Commerce and Ministry of Handicraft Forum on Artisan Exports,bs4
p,"One of the most shocking things we’ve learned since launching Anou is that artisans in Morocco are not legally able to sell their products directly to customers abroad. Yes, you read that right.",bs4
p,"To simplify an incredibly complicated subject, a law passed in 1974 creates a legal structure in which makes it difficult for artisans and easier for middlemen to ship internationally. In addition to this, there is no official means for a cooperative to register for an export number, which is required for any export from Morocco. If artisans want to sell and ship their products internationally, they must do so in a way that is illegal or sell to a middleman.",bs4
p,This may probably come as a confusing contradiction because our platform enables artisans to ship their products directly to their customers anywhere in the world. What that means is that all of artisan shipments that Anou has facilitated since the day we made our first sale in 2013 have been illegal. This definitely was not the empowerment we were thinking of when we began working on Anou many years ago.,bs4
p,"When we first launched Anou, we started with the naive assumption that solving market access would address the primary ills of the artisan community in Morocco.  Since those early days our views have evolved extensively. What we’ve learned, and blogged about in the past , is that market access, design, and management all play important roles in creating a robust artisans community in Morocco. But importance of these components can quickly be made negligible if the laws and policies that underpin the craft economy in Morocco are designed in a way that work against artisans.",bs4
p,"The 1974 law was created at a time when the places where artisans lived had no roads or electricity and internet had yet to be invented. At that time it truly was not practical for artisans to sell their products from the middle of the Atlas mountains. It comes as no surprise then that the law focuses on the regulation of middlemen and omits the possibility that artisans might one day be able to sell directly. You cannot fault law makers in 1974 as it is doubtful that they would have ever considered that rural artisans would have the means to sell from remote villages via pocket sized, globally connected computers. Today, this law leaves artisans stuck with no legal way to ship their products. Morocco and the world have changed. So must policy.",bs4
p,The Trouble With Change,bs4
p,"If these policies do not benefit artisans, why haven’t they been changed? The obvious answer might just be inertia. It’s hard to change old laws. But this would be incorrect. New laws are frequently passed that still continue to overlook the true needs of artisans. For example, policy implemented at the end 2016 requires all legal entities in Morocco to have an export number from Morocco’s national export office. Government agencies, associations, non-profits, you name it, can fairly easily apply for an export number to comply. But curiously, cooperatives were left off the list. There is no formal process for a cooperative to apply for an export number. It seems as if the government simply forgot about cooperatives even though cooperatives employ a substantial amount of Moroccans.",bs4
p,"The short answer to this complicated question is to simply follow the money. Currently, middlemen only pay artisans 4% of the final selling price of products they create. Non-profit organizations or social enterprises, even those that market themselves are unprecedented for paying artisans paying artisans high wages still only manage to pay artisans 25% of the final price. Maybe 25% puts food on the table for an artisan, maybe gets their children some school supplies, but they are still poor and work exhausting day to day existences. This leaves them little room to develop a voice and advocate for themselves.",bs4
p,"Therefore, it is contingent on those who earn a significant portion of the final selling products to advocate for artisans. With such profit comes great responsibility to those they profit off of. Yet, middlemen are certainly not going to push through a change to policy that they seemingly exclusively benefit from. That leaves non profit and ethical businesses but they have gone missing when it comes to systemic problems, like outdated policy, that hold the artisan community back. The 1974 law is proof of this. No one has tackled these issues because it is easier find work arounds than it is to invest the long game of changing policy. From 2010 to 2016 alone, work arounds of such outdated policy that only large businesses and organizations have the capability to develop directly contributed to an astounding 76% decline in legal artisan shipments from the the Fez province (as cited from a recent presentation by the Fez Artisan Delegation).",bs4
p,The Artisan Lobby,bs4
p,"The average length of a donor-funded project is about a year. Businesses that sell artisan products focus on what affects their immediate bottom lines. Moroccan government and staff turn over regularly. Meanwhile, it takes a minimum of four years for Moroccan government to modify an existing law. Artisans, on the other hand, will always be artisans. Time is on their side. Therefore, it is up to artisans to hold their government accountable and advocate for the future they want to see.",bs4
p,"When you purchase through Anou, this is exactly what you enable artisans to do. Artisans in our community earn 80% of the final selling price. The remaining 20% funds go to hire the best and brightest of the community, Anou’s artisan leaders, to travel the country talking with artisans and work directly on high level problems that affect the artisan community at large. Anou artisan leaders gain the experience, and financial stability, to critically think about the problems and solutions that matter the most to them and the wider artisans community.",bs4
p,"For the past one and half years, Anou’s artisan team has been at the forefront of challenging these outdated policies that prevent authentic artisans from legally exporting. We have spent considerable time and resources on these issues, more so in the past six months. We could continue with workarounds but we have decided that now is the time to bring these problems into the light due to the long-term damage they inflict on the artisan community.",bs4
p,"As such, we’ve begun to ship our products through formal channels, even though our products can be seized due to these existing policies. In fact, in the past three months alone, we’ve had over $20,000 USD in shipments held and delayed by customs causing immense amount of frustration for our customers. Despite the stress and frustration of these delays, they have provided us with knowledge, space and leverage to implement needed solutions.",bs4
p,Our efforts reached a new peak yesterday where the US Department of Commerce and Ministry of Handicraft hosted a forum to discuss the challenges facing artisan exports. Artisan Leader Mustapha Chaouai of Association Nahda gave the most compelling presentation of the forum in which he clearly articulated the problems of Morocco’s export policies and presented his solutions on how they could be fixed. People were shocked to learn that he was actually an artisan. The presentation was a watershed moment for Anou as it demonstrated for the first time that artisans themselves can truly influence and contribute to policy development in a way that no one else can.,bs4
p,"While the challenges that face Moroccan artisans and Anou face still remain unresolved, we are optimistic that with the continued support from you, our customers, artisans will be able to see this all through. Further, we are fortunate that there is a Ministry with the decree to specifically support the interests of Moroccan artisans and countless individuals within the Ministry truly committed to the well being of authentic artisans. Anou’s artisan team is excited to work with the Ministry to create smart, effective policy to resolve export problems and more in order to support the growth of Morocco’s artisan community. Whether it takes months or years, your support will enable us to change policy for the betterment of all Moroccan artisans.",bs4
p,"At Anou we work everyday to change and restructure the current artisan economy so that it works for artisans, rather than against them. But if there is anything we’ve learned is that actual change is really difficult.",bs4
p,A lot of what exists in fair-trade marketing is centered around aspirational change. Help empower these female artisans. Help give that person a job. Help give this person a better livelihood. Working towards such goals are laudable. But what happens when those female artisans are actually empowered? What happens when a person who didn’t have a decent livelihood now has one but the other members of his or her community remain stuck? This is where actual change begins.,bs4
p,"What separates Anou from just about everything else is that we are owned and operated by authentic artisans. Outside of the founder, the entire team is comprised of Moroccan artisans. Our team’s average education level is 7th grade and only one has graduated from high school. This is generally reflective of the average status of the artisan community here in Morocco. Our team is the cornerstone of our vision of creating an artisan-centered economy and bringing about real change in the Moroccan artisan sector. By hiring artisans, they learn skills that traditionally are reserved for non-profits aiming to help artisans. Also important, artisans get paid actual wages and develop actual wealth. These combined give artisans the skill and creative space to learn how to bend and shape the future of Anou, and by extension, the future of craft in Morocco. This change, actual change, is what Anou is all about.",bs4
p,Actual Change,bs4
p,"This optimistic vision, however, cannot be realized without addressing the ugly side of change. Actual change makes people uncomfortable and unseats those who may have once been the comfortable benefactor of the status quo. For example, the cooperative of one of our artisan leaders, a female, had become the largest employer in the village excluding the government. Moreover, in many months of the year, the female weavers were individually earning more money than the local governor. This cooperative was the poster child of the aspirational change that fills artisan marketing. But after a couple of small missteps by the president, such as poor vetting of new cooperative members and minor accounting mistakes that a 7th grade educated artisan is prone to make, the aftershocks of real change took hold.",bs4
p,"Jockeying for position to prepare for the elections in the fall of 2016, local political party leaders picked up on the missteps and initiated a behind the scenes smear campaign against the female president. As part of this, political parties hired lawyers and financed over 36 lawsuits against the president starting in the summer of 2016. The lawsuits explicitly pitted members of the cooperative against each other. The politicians’ goals were to unseat the president and place a person belonging to their party at the head of the cooperative to curry prestige and earn more votes in the upcoming election. The once successful group stopped weaving and instead spent their time facing off in monthly court hearings.",bs4
